event_month,total_events,view_events,cart_events,purchase_events,active_users,active_sessions,active_products,purchasing_users,purchase_revenue,avg_purchase_price,sessions_with_view,sessions_cart_after_view,sessions_purchase_after_view,sessions_purchase_after_cart,strict_funnel_complete_sessions,session_view_to_cart_rate_pct,session_view_to_purchase_rate_pct,session_cart_to_purchase_rate_pct,strict_session_funnel_completion_rate_pct,event_view_to_cart_rate_pct,event_view_to_purchase_rate_pct
2019-10,42448764,40779399,926516,742849,3022290,9244421,166794,347118,229957502.27,309.56,9242653,570768,627691,280650,279758,6.18,6.79,49.17,3.03,2.27,1.82
2019-11,67501979,63556110,3028930,916939,3696117,13776050,190662,441638,275194890.5,300.12,13766768,1730467,763053,641930,636045,12.57,5.54,37.1,4.62,4.77,1.44
