price_band_order,price_band,oct_purchase_revenue,nov_purchase_revenue,revenue_delta,revenue_growth_pct,oct_purchase_events,nov_purchase_events,purchase_event_delta,purchase_event_growth_pct,oct_cart_events,nov_cart_events,cart_event_delta,cart_event_growth_pct,oct_active_users,nov_active_users,active_user_delta,active_user_growth_pct,oct_active_sessions,nov_active_sessions,active_session_delta,oct_active_products,nov_active_products,active_product_delta,oct_avg_purchase_price,nov_avg_purchase_price,avg_purchase_price_delta,oct_view_to_cart_rate_pct,nov_view_to_cart_rate_pct,view_to_cart_rate_change_pp,oct_view_to_purchase_rate_pct,nov_view_to_purchase_rate_pct,view_to_purchase_rate_change_pp,oct_cart_to_purchase_rate_pct,nov_cart_to_purchase_rate_pct,cart_to_purchase_rate_change_pp,oct_strict_funnel_rate_pct,nov_strict_funnel_rate_pct,strict_funnel_rate_change_pp,nov_smartphone_revenue_share_pct,net_smartphone_revenue_growth_share_pct
0,Non-positive / Unknown,0.0,0.0,0.0,,0,0,0,,22,96,74,336.36,2777,3820,1043,37.56,3021,4227,1206,125,46,-79,,,,0.36,1.61,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Under $100,1058672.08,973014.45,-85657.63,-8.09,12052,11244,-808,-6.7,20106,35770,15664,77.91,116354,140933,24579,21.12,177355,218406,41051,248,248,0,87.84,86.54,-1.3,6.89,9.44,2.55,6.04,4.59,-1.45,52.27,43.32,-8.95,3.58,4.04,0.46,0.55,-0.41
2,$100-$249,23845779.31,30137494.27,6291714.96,26.39,138244,173966,35722,25.84,252414,519115,266701,105.66,662581,858461,195880,29.56,1332332,1885253,552921,517,524,7,172.49,173.24,0.75,11.31,15.61,4.3,9.0,7.87,-1.13,55.95,45.68,-10.27,6.3,7.04,0.74,16.95,30.29
3,$250-$499,25692449.77,25404647.97,-287801.8,-1.12,77015,71880,-5135,-6.67,122509,229518,107009,87.35,535559,625621,90062,16.82,1018756,1271925,253169,287,293,6,333.6,353.43,19.83,7.63,10.85,3.22,6.65,4.95,-1.7,54.59,40.61,-13.98,4.15,4.35,0.2,14.29,-1.39
4,$500-$799,30790833.64,30597935.23,-192898.41,-0.63,46451,45290,-1161,-2.5,66705,129271,62566,93.8,400902,495744,94842,23.66,726249,931252,205003,174,183,9,662.87,675.6,12.73,6.17,8.88,2.71,5.62,4.23,-1.39,52.19,40.45,-11.74,3.21,3.55,0.34,17.21,-0.93
5,$800-$1199,41758724.85,50909997.47,9151272.62,21.91,41981,53192,11211,26.7,54957,167790,112833,205.31,387141,501336,114195,29.5,664379,963798,299419,143,151,8,994.71,957.1,-37.61,5.63,11.0,5.37,5.58,4.83,-0.75,51.84,38.31,-13.53,2.91,4.16,1.25,28.63,44.06
6,$1200+,33903163.72,39798572.22,5895408.5,17.39,22275,27075,4800,21.55,33052,78406,45354,137.22,254361,332985,78624,30.91,382039,538078,156039,56,69,13,1522.03,1469.94,-52.09,5.95,9.51,3.56,5.11,4.44,-0.67,51.09,40.48,-10.61,3.03,3.8,0.77,22.38,28.38
